Nation,OrderDate,AverageDeliveryTime
Aglarond,01/01/2019,6.5
Aglarond,02/01/2019,5.75
Aglarond,03/01/2019,7.333333333
Aglarond,04/01/2019,8.714285714
Aglarond,05/01/2019,5.5
Aglarond,06/01/2019,8.5
Aglarond,07/01/2019,10
Aglarond,08/01/2019,8
Aglarond,09/01/2019,9.333333333
Aglarond,10/01/2019,10.66666667
Aglarond,11/01/2019,8
Aglarond,12/01/2019,7.5
Aglarond,14/01/2019,9.333333333
Aglarond,15/01/2019,5.571428571
Aglarond,16/01/2019,7
Aglarond,17/01/2019,7
Aglarond,18/01/2019,10
Aglarond,19/01/2019,10.33333333
Aglarond,20/01/2019,4.75
Aglarond,21/01/2019,0
Aglarond,22/01/2019,6.25
Aglarond,23/01/2019,9.333333333
Aglarond,24/01/2019,8.333333333
Aglarond,25/01/2019,6.833333333
Aglarond,26/01/2019,11
Aglarond,27/01/2019,5.5
Aglarond,28/01/2019,5.666666667
Aglarond,29/01/2019,9.75
Aglarond,30/01/2019,3.4
Aglarond,31/01/2019,8.666666667
Aglarond,01/02/2019,6.75
Aglarond,02/02/2019,6.333333333
Aglarond,03/02/2019,9
Aglarond,04/02/2019,0
Aglarond,05/02/2019,5
Aglarond,06/02/2019,7.6
Aglarond,07/02/2019,10
Aglarond,09/02/2019,3.5
Aglarond,10/02/2019,10.6
Aglarond,11/02/2019,8
Aglarond,12/02/2019,9
Aglarond,13/02/2019,5.333333333
Aglarond,14/02/2019,9.833333333
Aglarond,15/02/2019,7.4
Aglarond,16/02/2019,10
Aglarond,17/02/2019,9
Aglarond,18/02/2019,11
Aglarond,19/02/2019,4
Aglarond,20/02/2019,4
Aglarond,21/02/2019,7
Aglarond,22/02/2019,2.333333333
Aglarond,23/02/2019,4
Aglarond,24/02/2019,7
Aglarond,25/02/2019,6.5
Aglarond,26/02/2019,7.833333333
Aglarond,27/02/2019,2.833333333
Aglarond,28/02/2019,7.2
Aglarond,01/03/2019,5.666666667
Aglarond,02/03/2019,6.666666667
Aglarond,03/03/2019,10.33333333
Aglarond,04/03/2019,11
Aglarond,05/03/2019,6.333333333
Aglarond,06/03/2019,4.833333333
Aglarond,07/03/2019,7.8
Aglarond,08/03/2019,8.75
Aglarond,09/03/2019,7.25
Aglarond,10/03/2019,11
Aglarond,11/03/2019,7.4
Aglarond,13/03/2019,10.66666667
Aglarond,14/03/2019,10
Aglarond,15/03/2019,12.66666667
Aglarond,16/03/2019,9.333333333
Aglarond,17/03/2019,8.6
Aglarond,18/03/2019,12
Aglarond,19/03/2019,8
Aglarond,20/03/2019,2
Aglarond,21/03/2019,5.428571429
Aglarond,22/03/2019,8.8
Aglarond,23/03/2019,8
Aglarond,24/03/2019,8.2
Aglarond,25/03/2019,9
Aglarond,26/03/2019,10
Aglarond,27/03/2019,9
Aglarond,28/03/2019,3.5
Aglarond,29/03/2019,5.666666667
Aglarond,30/03/2019,4.285714286
Aglarond,31/03/2019,6.333333333
Aglarond,01/04/2019,2
Aglarond,02/04/2019,8.666666667
Aglarond,03/04/2019,7.5
Aglarond,04/04/2019,5.833333333
Aglarond,05/04/2019,8.375
Aglarond,06/04/2019,3.666666667
Aglarond,07/04/2019,5.666666667
Aglarond,08/04/2019,8
Aglarond,09/04/2019,4
Aglarond,10/04/2019,9
Aglarond,11/04/2019,6.714285714
Aglarond,12/04/2019,7.4
Aglarond,13/04/2019,5.4
Aglarond,14/04/2019,5
Aglarond,15/04/2019,5.75
Aglarond,16/04/2019,9
Aglarond,17/04/2019,8
Aglarond,18/04/2019,12
Aglarond,19/04/2019,6
Aglarond,20/04/2019,14
Aglarond,21/04/2019,5.8
Aglarond,22/04/2019,9.2
Aglarond,23/04/2019,6
Aglarond,24/04/2019,8
Aglarond,25/04/2019,8
Aglarond,26/04/2019,9
Aglarond,27/04/2019,5
Aglarond,28/04/2019,9.25
Aglarond,29/04/2019,5.5
Aglarond,30/04/2019,7.25
