DeliveryDate,Subtype,Counts
01/01/2020,AMMUNITION,6
01/01/2021,AMMUNITION,12
01/01/2022,AMMUNITION,9
01/01/2023,AMMUNITION,15
01/01/2024,AMMUNITION,8
01/02/2019,AMMUNITION,4
01/02/2020,AMMUNITION,4
01/02/2021,AMMUNITION,18
01/02/2022,AMMUNITION,11
01/02/2023,AMMUNITION,6
01/03/2019,AMMUNITION,2
01/03/2020,AMMUNITION,9
01/03/2021,AMMUNITION,13
01/03/2022,AMMUNITION,12
01/03/2023,AMMUNITION,7
01/04/2019,AMMUNITION,5
01/04/2020,AMMUNITION,13
01/04/2021,AMMUNITION,17
01/04/2022,AMMUNITION,8
01/04/2023,AMMUNITION,12
01/05/2019,AMMUNITION,5
01/05/2020,AMMUNITION,19
01/05/2021,AMMUNITION,5
01/05/2022,AMMUNITION,14
01/05/2023,AMMUNITION,10
01/06/2019,AMMUNITION,7
01/06/2020,AMMUNITION,10
01/06/2021,AMMUNITION,2
01/06/2022,AMMUNITION,5
01/06/2023,AMMUNITION,5
01/07/2019,AMMUNITION,9
01/07/2020,AMMUNITION,19
01/07/2021,AMMUNITION,4
01/07/2022,AMMUNITION,7
01/07/2023,AMMUNITION,10
01/08/2019,AMMUNITION,10
01/08/2020,AMMUNITION,11
01/08/2021,AMMUNITION,3
01/08/2022,AMMUNITION,7
01/08/2023,AMMUNITION,4
01/09/2019,AMMUNITION,9
01/09/2020,AMMUNITION,16
01/09/2021,AMMUNITION,1
01/09/2022,AMMUNITION,20
01/09/2023,AMMUNITION,6
01/10/2019,AMMUNITION,7
01/10/2020,AMMUNITION,7
01/10/2021,AMMUNITION,3
01/10/2022,AMMUNITION,17
01/10/2023,AMMUNITION,16
01/11/2019,AMMUNITION,12
01/11/2020,AMMUNITION,13
01/11/2021,AMMUNITION,3
01/11/2022,AMMUNITION,14
01/11/2023,AMMUNITION,5
01/12/2019,AMMUNITION,9
01/12/2020,AMMUNITION,15
01/12/2021,AMMUNITION,8
01/12/2022,AMMUNITION,12
01/12/2023,AMMUNITION,3
02/01/2019,AMMUNITION,1
02/01/2020,AMMUNITION,6
02/01/2021,AMMUNITION,18
02/01/2022,AMMUNITION,12
02/01/2023,AMMUNITION,15
02/01/2024,AMMUNITION,3
02/02/2019,AMMUNITION,5
02/02/2020,AMMUNITION,6
02/02/2021,AMMUNITION,11
02/02/2022,AMMUNITION,7
02/02/2023,AMMUNITION,10
02/03/2019,AMMUNITION,3
02/03/2020,AMMUNITION,8
02/03/2021,AMMUNITION,16
02/03/2022,AMMUNITION,11
02/03/2023,AMMUNITION,12
02/04/2019,AMMUNITION,8
02/04/2020,AMMUNITION,12
02/04/2021,AMMUNITION,8
02/04/2022,AMMUNITION,16
02/04/2023,AMMUNITION,11
02/05/2019,AMMUNITION,4
02/05/2020,AMMUNITION,12
02/05/2021,AMMUNITION,11
