OrderDate,Subtype,Counts
01/01/2019,AMMUNITION,4
01/01/2019,AMULET / NECKLACE,4
01/01/2019,ARMOUR OTHER,14
01/01/2019,BELT / GIRDLE,3
01/01/2019,BOOTS,1
01/01/2019,BRACERS,3
01/01/2019,BRASS INSTRUMENT,3
01/01/2019,CLOAK,9
01/01/2019,CLOTHING,6
01/01/2019,CONTAINER,9
01/01/2019,GAMING SET,4
01/01/2019,GAUNTLETS / GLOVES,3
01/01/2019,GOGGLES,10
01/01/2019,HEAVY ARMOUR,5
01/01/2019,HELMET,12
01/01/2019,IOUN STONE,10
01/01/2019,LIGHT ARMOUR,6
01/01/2019,LIVESTOCK,1
01/01/2019,MAGIC UTILITY,38
01/01/2019,MARTIAL MELEE WEAPON,30
01/01/2019,MARTIAL RANGED WEAPON,5
01/01/2019,MEDIUM ARMOUR,7
01/01/2019,MOUNT,18
01/01/2019,PERCUSSION INSTRUMENT,2
01/01/2019,POTIONS & ALCHEMY,31
01/01/2019,RING,10
01/01/2019,ROD,1
01/01/2019,SCROLL,21
01/01/2019,SHIELD,3
01/01/2019,SIMPLE MELEE WEAPON,13
01/01/2019,SIMPLE RANGED WEAPON,3
01/01/2019,SPELL FOCUS,25
01/01/2019,STAFF,10
01/01/2019,STRING INSTRUMENT,5
01/01/2019,SUMMONING DEVICE,10
01/01/2019,SURVIVAL & WILDERNESS,14
01/01/2019,TOOL KITS,17
01/01/2019,TOOLS,37
01/01/2019,WAND,12
01/01/2019,WEAPON OTHER,3
01/01/2019,WIND INSTRUMENT,3
01/01/2020,AMMUNITION,6
01/01/2020,AMULET / NECKLACE,2
01/01/2020,ARMOUR OTHER,19
01/01/2020,BELT / GIRDLE,2
01/01/2020,BOOTS,1
01/01/2020,BRASS INSTRUMENT,2
01/01/2020,CLOAK,14
01/01/2020,CLOTHING,4
01/01/2020,CONTAINER,9
01/01/2020,GAUNTLETS / GLOVES,4
01/01/2020,GOGGLES,1
01/01/2020,HEAVY ARMOUR,12
01/01/2020,HELMET,13
01/01/2020,IOUN STONE,11
01/01/2020,LIGHT ARMOUR,10
01/01/2020,LIVESTOCK,3
01/01/2020,MAGIC UTILITY,59
01/01/2020,MARTIAL MELEE WEAPON,43
01/01/2020,MARTIAL RANGED WEAPON,7
01/01/2020,MEDIUM ARMOUR,10
01/01/2020,MOUNT,20
01/01/2020,POTIONS & ALCHEMY,18
01/01/2020,RING,15
01/01/2020,ROD,4
01/01/2020,SCROLL,21
01/01/2020,SHIELD,10
01/01/2020,SIMPLE MELEE WEAPON,42
01/01/2020,SIMPLE RANGED WEAPON,5
01/01/2020,SPELL FOCUS,21
01/01/2020,STAFF,10
01/01/2020,STRING INSTRUMENT,6
01/01/2020,SUMMONING DEVICE,14
01/01/2020,SURVIVAL & WILDERNESS,20
01/01/2020,TOOL KITS,22
01/01/2020,TOOLS,25
01/01/2020,VEHICLE,1
01/01/2020,WAND,9
01/01/2020,WIND INSTRUMENT,1
01/01/2021,AMMUNITION,11
01/01/2021,AMULET / NECKLACE,7
01/01/2021,ARMOUR OTHER,11
01/01/2021,BELT / GIRDLE,3
01/01/2021,BOOTS,2
01/01/2021,BRACERS,3
01/01/2021,BRASS INSTRUMENT,2
01/01/2021,CLOAK,10
01/01/2021,CLOTHING,12
01/01/2021,CONTAINER,5
01/01/2021,GAMING SET,1
01/01/2021,GAUNTLETS / GLOVES,2
01/01/2021,GOGGLES,2
01/01/2021,HEAVY ARMOUR,7
01/01/2021,HELMET,11
01/01/2021,IOUN STONE,8
01/01/2021,LIGHT ARMOUR,4
01/01/2021,LIVESTOCK,3
01/01/2021,MAGIC UTILITY,54
01/01/2021,MARTIAL MELEE WEAPON,58
01/01/2021,MARTIAL RANGED WEAPON,9
01/01/2021,MEDIUM ARMOUR,8
01/01/2021,MOUNT,15
01/01/2021,POTIONS & ALCHEMY,24
01/01/2021,RING,12
01/01/2021,ROD,2
01/01/2021,SCROLL,18
01/01/2021,SHIELD,7
01/01/2021,SIMPLE MELEE WEAPON,31
01/01/2021,SIMPLE RANGED WEAPON,13
01/01/2021,SPELL FOCUS,22
01/01/2021,STAFF,8
01/01/2021,STRING INSTRUMENT,5
01/01/2021,SUMMONING DEVICE,13
01/01/2021,SURVIVAL & WILDERNESS,14
01/01/2021,TOOL KITS,17
01/01/2021,TOOLS,31
01/01/2021,VEHICLE,1
01/01/2021,WAND,13
01/01/2021,WEAPON OTHER,6
01/01/2021,WIND INSTRUMENT,4
01/01/2022,AMMUNITION,13
01/01/2022,AMULET / NECKLACE,6
01/01/2022,ARMOUR OTHER,7
01/01/2022,BELT / GIRDLE,1
01/01/2022,BOOTS,1
01/01/2022,BRACERS,1
01/01/2022,BRASS INSTRUMENT,5
01/01/2022,CLOAK,7
01/01/2022,CLOTHING,7
01/01/2022,CONTAINER,8
01/01/2022,GAMING SET,1
01/01/2022,GAUNTLETS / GLOVES,4
01/01/2022,GOGGLES,3
01/01/2022,HEAVY ARMOUR,14
01/01/2022,HELMET,10
01/01/2022,IOUN STONE,6
01/01/2022,LIGHT ARMOUR,21
01/01/2022,LIVESTOCK,2
01/01/2022,MAGIC UTILITY,37
01/01/2022,MARTIAL MELEE WEAPON,40
01/01/2022,MARTIAL RANGED WEAPON,10
01/01/2022,MEDIUM ARMOUR,7
01/01/2022,MOUNT,23
01/01/2022,POTIONS & ALCHEMY,16
01/01/2022,RING,10
01/01/2022,ROD,6
01/01/2022,SCROLL,27
01/01/2022,SHIELD,5
01/01/2022,SIMPLE MELEE WEAPON,34
01/01/2022,SIMPLE RANGED WEAPON,9
01/01/2022,SPELL FOCUS,15
01/01/2022,STAFF,18
01/01/2022,STRING INSTRUMENT,9
01/01/2022,SUMMONING DEVICE,9
01/01/2022,SURVIVAL & WILDERNESS,21
01/01/2022,TOOL KITS,14
01/01/2022,TOOLS,20
01/01/2022,WAND,8
01/01/2022,WIND INSTRUMENT,4
01/01/2023,AMMUNITION,14
01/01/2023,AMULET / NECKLACE,7
01/01/2023,ARMOUR OTHER,14
01/01/2023,BELT / GIRDLE,1
01/01/2023,BOOTS,4
01/01/2023,BRACERS,5
01/01/2023,BRASS INSTRUMENT,5
01/01/2023,CLOAK,11
01/01/2023,CLOTHING,9
01/01/2023,CONTAINER,8
01/01/2023,GAMING SET,1
01/01/2023,GAUNTLETS / GLOVES,6
01/01/2023,GOGGLES,4
01/01/2023,HEAVY ARMOUR,14
01/01/2023,HELMET,17
01/01/2023,IOUN STONE,5
01/01/2023,LIGHT ARMOUR,19
01/01/2023,LIVESTOCK,2
01/01/2023,MAGIC UTILITY,54
01/01/2023,MARTIAL MELEE WEAPON,59
01/01/2023,MARTIAL RANGED WEAPON,6
01/01/2023,MEDIUM ARMOUR,11
01/01/2023,MOUNT,15
01/01/2023,POTIONS & ALCHEMY,22
01/01/2023,RING,9
01/01/2023,ROD,1
01/01/2023,SCROLL,18
01/01/2023,SHIELD,9
01/01/2023,SIMPLE MELEE WEAPON,22
01/01/2023,SIMPLE RANGED WEAPON,12
01/01/2023,SPELL FOCUS,23
01/01/2023,STAFF,14
01/01/2023,STRING INSTRUMENT,2
01/01/2023,SUMMONING DEVICE,10
01/01/2023,SURVIVAL & WILDERNESS,8
01/01/2023,TOOL KITS,22
01/01/2023,TOOLS,27
01/01/2023,VEHICLE,1
01/01/2023,WAND,17
01/01/2023,WEAPON OTHER,2
01/01/2023,WIND INSTRUMENT,4
01/02/2019,AMMUNITION,5
01/02/2019,AMULET / NECKLACE,3
01/02/2019,ARMOUR OTHER,14
01/02/2019,BELT / GIRDLE,5
01/02/2019,BOOTS,7
01/02/2019,BRACERS,2
01/02/2019,BRASS INSTRUMENT,5
01/02/2019,CLOAK,6
01/02/2019,CLOTHING,14
01/02/2019,CONTAINER,14
01/02/2019,GAMING SET,4
01/02/2019,GAUNTLETS / GLOVES,5
01/02/2019,GOGGLES,6
01/02/2019,HEAVY ARMOUR,12
01/02/2019,HELMET,13
01/02/2019,IOUN STONE,9
01/02/2019,LIGHT ARMOUR,8
01/02/2019,LIVESTOCK,4
01/02/2019,MAGIC UTILITY,68
01/02/2019,MARTIAL MELEE WEAPON,30
01/02/2019,MARTIAL RANGED WEAPON,5
01/02/2019,MEDIUM ARMOUR,5
01/02/2019,MOUNT,14
01/02/2019,PERCUSSION INSTRUMENT,2
01/02/2019,POTIONS & ALCHEMY,21
01/02/2019,RING,13
01/02/2019,ROD,4
01/02/2019,SCROLL,24
01/02/2019,SHIELD,6
01/02/2019,SIMPLE MELEE WEAPON,22
01/02/2019,SIMPLE RANGED WEAPON,6
01/02/2019,SPELL FOCUS,21
01/02/2019,STAFF,7
01/02/2019,STRING INSTRUMENT,7
01/02/2019,SUMMONING DEVICE,15
01/02/2019,SURVIVAL & WILDERNESS,9
01/02/2019,TOOL KITS,16
01/02/2019,TOOLS,27
01/02/2019,VEHICLE,1
01/02/2019,WAND,11
01/02/2019,WEAPON OTHER,1
01/02/2019,WIND INSTRUMENT,10
01/02/2020,AMMUNITION,6
01/02/2020,AMULET / NECKLACE,3
01/02/2020,ARMOUR OTHER,19
01/02/2020,BELT / GIRDLE,3
01/02/2020,BOOTS,1
01/02/2020,BRACERS,2
01/02/2020,BRASS INSTRUMENT,2
01/02/2020,CLOAK,9
01/02/2020,CLOTHING,9
01/02/2020,CONTAINER,5
01/02/2020,GAMING SET,1
01/02/2020,GAUNTLETS / GLOVES,6
01/02/2020,GOGGLES,5
01/02/2020,HEAVY ARMOUR,9
01/02/2020,HELMET,9
01/02/2020,IOUN STONE,5
01/02/2020,LIGHT ARMOUR,8
01/02/2020,LIVESTOCK,3
01/02/2020,MAGIC UTILITY,34
01/02/2020,MARTIAL MELEE WEAPON,22
01/02/2020,MARTIAL RANGED WEAPON,5
01/02/2020,MEDIUM ARMOUR,5
01/02/2020,MOUNT,24
